Gender,Employment,First Generation Indicator,New to Ames,Classification,Favorite Restaurant,Favorite Food Type,# Caffeinated Drinks,Height (inches),Shoe size,Length of Relationship,Technology effects,Age for Electronics,Football,Enthusiasm
male,Part-time and/or working student,Yes,No,Senior,great plains or el ezteka,I like all types of food;I do not have a preference.,2,73,11.5,5,No,13,Yes,False
female,Full-time student,No,No,Sophomore,Hickory Park,Mexican cuisine,0,67,9.5,2,Yes,13,Yes,True
female,Full-time student,No,No,Sophomore,Perkins,I like all types of food;I do not have a preference.,0,69,13.5,7,No,14,Yes,True
male,Full-time student,Yes,No,Sophomore,Hickory Park,American cuisine,0,74,12,35,No,12,Yes,True
female,Full-time student,No,No,Sophomore,fujis and el azteca,Mexican cuisine,1,68.11,9,18,Yes,11,Yes,True
female,Full-time student,No,No,Sophomore,Hickory Park,Asian cuisine,1,68,9,8,Yes,12,Yes,True
male,Full-time student,No,Yes,Sophomore,The Fighting Burrito,European cuisine,2,71,11,20,No,13,Yes,True
male,Full-time student,No,No,Sophomore,"I worked at The Cafe for 2 years while I was in high school, I would have to say it is still my favorite restaruant in Ames. Great food and great people!",I like all types of food;I do not have a preference.,0,71,11.5,3,No,13,Yes,True
male,Full-time student,Yes,Yes,Junior,El Azteca Mexican Restaurant,Mexican cuisine,0,73,10,60,No,13,Yes,True
male,Full-time student,No,No,Sophomore,Blaze Pizza,I like all types of food;I do not have a preference.,1,68,9,27,No,14,Yes,True
male,Full-time student,No,No,Sophomore,Texas Roadhouse,I like all types of food;I do not have a preference.,0,75,13,0,No,13,Yes,True
male,Full-time student,No,Yes,Sophomore,Chik Fil A,European cuisine,2,65,9,6,No,12,Yes,True
female,Full-time student,No,Yes,Sophomore,Red Lobster,European cuisine,0,70,9,0,Yes,9,Yes,True
male,Full-time student,No,No,Senior,Texas Roadhouse,American cuisine,3,67,9,12,No,14,Yes,True
female,Full-time student,No,Yes,Junior,West Towne Pub,American cuisine,1,65,7.5,7,No,13,Yes,True
male,Full-time student,No,No,Freshman,Hickory Park,I like all types of food;I do not have a preference.,1,70,11,0,No,12,Yes,True
male,Full-time student,No,No,Sophomore,Fuji Japanese Steakhouse,Asian cuisine,0,69,11,9,No,15,Yes,True
female,Part-time and/or working student,No,No,Senior,Brick City Grill,American cuisine,0,64,8.5,312,No,12,Yes,True
female,Full-time student,No,No,Junior,The Cafe,European cuisine,2,62,7,36,No,15,Yes,True
male,Full-time student,No,No,Junior,Brick City Bar and Grill,American cuisine,0,70,9,6,Yes,14,Yes,True
male,Full-time student,No,No,Sophomore,Hickory Park,American cuisine,1,73,11.5,6,No,13,Yes,False
female,Full-time student,No,No,Senior,Thai Kitchen,Asian cuisine,0,61,8,15,No,13,No,True
male,Full-time student,No,Yes,Sophomore,Texas Roadhouse,Asian cuisine,2,75,14,9,Yes,14,Yes,True
female,Full-time student,No,Yes,Junior,The Cafe,I like all types of food;I do not have a preference.,2,67,8,24,Yes,14,Yes,True
male,Full-time student,No,Yes,Junior,Hickory Park,American cuisine,0,78,10,45,No,14,Yes,True
male,Full-time student,Yes,No,Junior,The Great Plains Sauce and Dough Company,Mexican cuisine,0,72,10.5,4,Yes,10,Yes,True
female,Full-time student,No,No,Sophomore,Stomping Grounds,Asian cuisine,2,67,8,34,No,12,Yes,True
female,Full-time student,No,No,Sophomore,Chick fil a,I like all types of food;I do not have a preference.,3,69,9,36,No,13,Yes,True
male,Full-time student,No,No,Sophomore,Szechuan House,I like all types of food;I do not have a preference.,0,68,8.5,24,No,14,Yes,True
male,Full-time student,No,No,Sophomore,The Cafe! I actually work here and it's a fantastic place to eat,American cuisine,0,69,10.5,4,No,12,Yes,True
female,Full-time student,Yes,Yes,Freshman,,Asian cuisine,1,65.3642,8,999,Yes,15,No,False
male,Full-time student,No,No,Sophomore,Fuzzy's Tacos,Asian cuisine,0,72,11,8,No,12,Yes,True
female,Full-time student,No,No,Senior,Applebee's,American cuisine,1,69,9.5,1,No,12,Yes,True
male,Full-time student,No,Yes,Junior,Brick City Grill,Mexican cuisine,1,69,11,48,Yes,14,Yes,True
female,Full-time student,No,No,Sophomore,Brick City,European cuisine,1,65,8,0,No,12,Yes,False
female,Full-time student,No,No,Sophomore,Fuzzys,I like all types of food;I do not have a preference.,1,67,8,12,Yes,12,Yes,True
male,Full-time student,No,Yes,Sophomore,Mr. Burrito,Mexican cuisine,0,71,935,6,No,13,Yes,True
male,Full-time student,No,No,Sophomore,Fuzzys,American cuisine,1,77,13,22,No,11,Yes,True
male,Full-time student,No,No,Sophomore,Hickory Park,I like all types of food;I do not have a preference.,1,72,11.5,8,Yes,12,Yes,True
male,Full-time student,No,Yes,Sophomore,Jeffs Pizza,Asian cuisine,1,75,11,24,No,11,Yes,True
male,Full-time student,No,No,Sophomore,Village inn,I like all types of food;I do not have a preference.,0,72,11,0,No,13,Yes,True
male,Full-time student,No,No,Sophomore,The great plains sauce and Dough co.,Asian cuisine,2,71,10.5,22,No,12,Yes,True
female,Full-time student,No,No,Sophomore,Mr. Burrito,Asian cuisine,1,61,7,6,No,13,No,True
female,Full-time student,No,Yes,Sophomore,NOODLE COMPANY,Asian cuisine,0,65,7,0,Yes,17,Yes,True
female,Full-time student,No,,Sophomore,Wallaby's,European cuisine,1,67,8,28,Yes,12,Yes,True
male,Full-time student,No,No,Sophomore,Old Chicago,European cuisine,1,75,12,25,Yes,12,Yes,True
male,Full-time student,Yes,Yes,Junior,Pancheros,Mexican cuisine,2,72,12,60,Yes,14,Yes,True
male,Full-time student,No,No,Junior,West Town Pub,American cuisine,1,71,11,18,Yes,14,Yes,True
male,Full-time student,No,No,Junior,Texas Roadhouse,American cuisine,1,100,10.5,36,No,7,Yes,True
female,Full-time student,Yes,No,Sophomore,Texas Roadhouse,I like all types of food;I do not have a preference.,1,63,8,18,Yes,15,Yes,True
male,Full-time student,No,No,Junior,Pepper Jack's Grill,Asian cuisine,0,74,10.5,46,No,13,Yes,True
male,Full-time student,No,No,Sophomore,Mr. Buritto,African cuisine,0,71,10.5,16,No,10,Yes,True
male,Full-time student,No,Yes,Sophomore,Hickory Park,I like all types of food;I do not have a preference.,2,70,10,3,No,13,Yes,True
male,Full-time student,No,No,Junior,Hickory Park,I like all types of food;I do not have a preference.,1,73,10.5,54,Yes,15,Yes,True
female,Full-time student,No,No,Sophomore,My favorite resturante in ames is Hickory Park.,Mexican cuisine,0,69,8,0,Yes,14,Yes,True
male,Full-time student,No,No,Junior,El Azteca,I like all types of food;I do not have a preference.,1,69,10,12,No,15,No,True
male,Full-time student,No,Yes,Sophomore,Orange Leaf,I like all types of food;I do not have a preference.,0,67,10,30,Yes,12,Yes,True
male,Full-time student,No,No,Sophomore,Hickory Park,American cuisine,1,73,12,0,No,14,Yes,False
male,Full-time student,Yes,No,Junior,HuHot Mongolian Grill,Asian cuisine,2,67,9.5,48,Yes,13,Yes,True
male,Full-time student,Yes,No,Sophomore,Fuji,I like all types of food;I do not have a preference.,2,68,10.5,15,No,10,Yes,True
male,Full-time student,No,No,Junior,Pancheros,American cuisine,1,72,10.5,8,No,15,Yes,True
male,Full-time student,No,No,Sophomore,Buffalo Wild Wings,American cuisine,0,92,11,24,Yes,11,Yes,True
male,Full-time student,Yes,No,Sophomore,Pancheros Mexican Grill,I like all types of food;I do not have a preference.,0,73,10,0,No,15,Yes,True
male,Full-time student,Yes,No,Sophomore,Blaze Pizza,Mexican cuisine,2,71 inches,10.5,20,Yes,10,Yes,True
male,Full-time student,No,No,Sophomore,Jeff's Pizza,I like all types of food;I do not have a preference.,4,69,9,14,No,13,Yes,True
male,Full-time student,Yes,Yes,Sophomore,Pizza Ranch,American cuisine,1,69,11,6,No,12,Yes,True
male,Full-time student,Yes,No,Sophomore,Mr. Burrito,Mexican cuisine,2,71,13,3,No,14,Yes,True
male,Full-time student,No,No,Sophomore,Hickory Park,American cuisine,1,71,10.5,6,Yes,14,Yes,True
male,Full-time student,No,No,Senior,Hickory Park,Mexican cuisine,1,70,11,11,No,15,Yes,True
female,Full-time student,No,No,Sophomore,Buffalo Wild Wings,I like all types of food;I do not have a preference.,1,63,9,24,Yes,13,Yes,True
male,Full-time student,No,No,Sophomore,Hickory Park,I like all types of food;I do not have a preference.,0,72,13,23,No,11,Yes,True
female,Full-time student,Yes,Yes,Freshman,Potbelly,I like all types of food;I do not have a preference.,1,65,8,12,Yes,11,Yes,True
male,Full-time student,Yes,No,Sophomore,Barlatosca,Mexican cuisine,2,68,10.5,4,Yes,12,Yes,True
male,Full-time student,No,No,Sophomore,Mr. Burrito,Mexican cuisine,1,68,9,7,No,14,Yes,False
male,Full-time student,No,No,Junior,Hickory park,American cuisine,2,70,10.5,26,No,16,No,True
female,Full-time student,Yes,No,Junior,Hickory Park,Asian cuisine,1,66,8,3,No,14,Yes,True
male,Full-time student,No,No,Junior,El Azteca,American cuisine,0,76,13,35,Yes,12,Yes,True
male,Full-time student,No,No,Junior,Hickory Park.,American cuisine,0,69,8.5,9,Yes,14,Yes,True
female,Full-time student,No,Yes,Sophomore,Jethro's BBQ,Mexican cuisine,1,67,8.5,15,No,14,Yes,True
male,Full-time student,No,Yes,Sophomore,Hu-Hot,American cuisine,3,61,14,3,No,13,Yes,False
male,Full-time student,No,No,Sophomore,Chipotle,I like all types of food;I do not have a preference.,1,74,11.5,0,No,14,Yes,True
male,Full-time student,Yes,No,Sophomore,Szechuan House,Asian cuisine,0,69,9.5,3,No,13,Yes,True
male,Full-time student,Yes,No,Junior,Mandarin,Asian cuisine,1,69,8.5,128,No,15,No,True
male,Full-time student,No,No,Sophomore,The Cafe,I like all types of food;I do not have a preference.,0,71 inches,11,35,No,12,Yes,True
male,Full-time student,Yes,No,Junior,B-Bop's,Mexican cuisine,0,70,9,72,No,10,Yes,True
male,Full-time student,Yes,No,Junior,Taste Place,I like all types of food;I do not have a preference.,0,67,8,24,No,5,Yes,True
female,Full-time student,No,No,Junior,Hickory Park,I like all types of food;I do not have a preference.,3,64 Inches,8.5,60,Yes,12,Yes,True
female,Full-time student,No,No,Sophomore,Hickory Park,Asian cuisine,0,64,10,5,Yes,12,Yes,True
male,Full-time student,No,No,Sophomore,I just went to the new restaurant by the movie theater.  I'm pretty sure its called Jethro's.,American cuisine,0,74,11.5,0,No,16,Yes,False
male,Full-time student,No,No,Junior,Blaze Pizza,I like all types of food;I do not have a preference.,2,77,13.5,6,Yes,12,Yes,True
female,Full-time student,No,No,Sophomore,Pancheros,I like all types of food;I do not have a preference.,4,66,9,6,No,14,Yes,True
male,Full-time student,No,No,Sophomore,Buffalo Wild Wings,I like all types of food;I do not have a preference.,3,72,11,5,No,12,Yes,True
male,Full-time student,No,No,Sophomore,HuHot,American cuisine,1,67,10.5,62,No,16,Yes,True
male,Part-time and/or working student,Yes,No,Sophomore,Hickory Park,Mexican cuisine,0,69,10.5,4,No,14,Yes,True
male,Full-time student,No,No,Sophomore,No Preference,I like all types of food;I do not have a preference.,0,72,11.5,2,No,14,Yes,True
male,Full-time student,No,No,Junior,The Spice Thai Cuisine,I like all types of food;I do not have a preference.,6,70,9.5,6,No,13,No,True
male,Full-time student,Yes,Yes,Sophomore,Texas Roadhouse,American cuisine,2,75,9.5,6,No,10,Yes,True
male,Full-time student,No,Yes,Sophomore,My favorite restaurant in Ames is Indian Delights.,Asian cuisine,0,67 inches tall,8,12,Yes,15,Yes,True
female,Full-time student,No,No,Sophomore,The Cafe.,I like all types of food;I do not have a preference.,0,64,9,23,No,13,No,True
male,Full-time student,No,No,Sophomore,Blaze,I like all types of food;I do not have a preference.,1,72,11.5,4,Yes,13,No,True
female,Full-time student,No,Yes,Freshman, Fuzzy's Taco Shop,I like all types of food;I do not have a preference.,1,67,11,5,No,12,Yes,True
male,Full-time student,No,Yes,Junior,Hickory Park,Mexican cuisine,0,72,10.5,2,No,13,Yes,True
female,Full-time student,No,No,Sophomore,texas road house,I like all types of food;I do not have a preference.,1,66,7,11,No,12,Yes,True
female,Full-time student,No,No,Sophomore,El Azteca,American cuisine,1,65,7.5,19,Yes,14,Yes,True
male,Full-time student,No,No,Sophomore,Pizza Pit,American cuisine,0,73,11.5,4,No,13,Yes,True
male,Full-time student,Yes,Yes,Junior,The Fighting Burrito,Mexican cuisine,3,77,12,5,Yes,12,Yes,True
male,Full-time student,Yes,No,Senior,Cafe Beaudelaire,I like all types of food;I do not have a preference.,1,69,10.5,36,No,14,No,False
male,Full-time student,No,No,Junior,Hickory park,I like all types of food;I do not have a preference.,5,71,11,0,Yes,13,Yes,False
male,Full-time student,No,No,Sophomore,Olde Main Brewing Company,American cuisine,0,74,11,1,No,12,No,True
female,Full-time student,Yes,No,Junior,Great Plains has the best pizza and thick crusts!,American cuisine,1,65,10,60,No,13,Yes,True
female,Full-time student,No,No,Sophomore,Hickory Park,I like all types of food;I do not have a preference.,1,64,7,12,Yes,14,Yes,True
male,Full-time student,No,No,Junior,Huhot.,American cuisine,1,74,10.5,48,Yes,14,Yes,True
female,Full-time student,No,No,Sophomore,Texas Road House,American cuisine,0,64,7.5,32,Yes,12,Yes,True
female,Full-time student,No,No,Sophomore,"I really like Hickory Park, which is the restaurant I always visit when my parents come to town.",American cuisine,1,66,10,30,Yes,15,Yes,True
male,Full-time student,No,No,Sophomore,Hickory Park,Mexican cuisine,0,73,12,23,Yes,15,Yes,True
female,Full-time student,No,No,Sophomore,Fuji Japanese Steakhouse,American cuisine,1,66,9,24,Yes,13,Yes,True
male,Full-time student,Yes,No,Sophomore,Pancheros,American cuisine,3,74,11,8,Yes,13,No,True
female,Full-time student,No,No,Sophomore,Blaze Pizza,Mexican cuisine,1,61.2,10,8,Yes,14,Yes,True
male,Full-time student,No,No,Sophomore,Pepper Jax,I like all types of food;I do not have a preference.,1,70,10.5,32,Yes,14,Yes,True
female,Full-time student,No,No,Sophomore,Whiskey River,I like all types of food;I do not have a preference.,1,66,10,1,Yes,14,No,True
male,Full-time student,No,No,Junior,Hickory Park,I like all types of food;I do not have a preference.,2,77,13,24,Yes,15,Yes,True
male,Full-time student,No,No,Sophomore,Aunt Maude's,Mexican cuisine,3,71,10,8,No,10,Yes,True
male,Part-time and/or working student,No,Yes,Sophomore,El Azteca,I like all types of food;I do not have a preference.,3,70,10.5,64,No,3,No,True
female,Part-time and/or working student,No,No,Sophomore,Wallaby's,American cuisine,2,66,9,18,No,12,Yes,True
female,Part-time and/or working student,No,No,Sophomore,Chick-fil-a,Asian cuisine,3,63,7,16,No,13,Yes,False
female,Full-time student,Yes,No,Junior,I don't eat out very often. I like to cook my own food in my apartment. I haven't been to any restaurant in Ames as of now but I liked conversation dining in the campus.,Asian cuisine,1,66,8.5,24,Yes,14,Yes,True
female,Full-time student,No,No,Sophomore,Hickory Park,Ethnic cuisines,2,68,9.5,38,No,12,Yes,True
female,Full-time student,No,No,Sophomore,Fuzzys,European cuisine,1,70,11,0,Yes,12,Yes,True
